"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.html", "HTML", 0, 125, 0, 0, 0, 0, 0, 14, 139
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.css", "CSS", 0, 0, 319, 0, 0, 0, 26, 91, 436
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.html", "HTML", 0, 311, 0, 0, 0, 0, 62, 17, 390
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.ts", "TypeScript", 185, 0, 0, 0, 0, 0, 18, 59, 262
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\next.directive.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\next.directive.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 13, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.css", "CSS", 0, 0, 105, 0, 0, 0, 0, 14, 119
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 2, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 9, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.css", "CSS", 0, 0, 189, 0, 0, 0, 1, 30, 220
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.html", "HTML", 0, 96, 0, 0, 0, 0, 135, 21, 252
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 2, 24, 158
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.html", "HTML", 0, -2, 0, 0, 0, 0, -1, 1, -2
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\PerlaProfilLogo-dark 1.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.css", "CSS", 0, 0, 879, 0, 0, 0, 38, 211, 1128
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.html", "HTML", 0, 212, 0, 0, 0, 0, 53, 8, 273
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.ts", "TypeScript", 425, 0, 0, 0, 0, 0, 27, 44, 496
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.css", "CSS", 0, 0, 98, 0, 0, 0, -49, 5, 54
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.html", "HTML", 0, 158, 0, 0, 0, 0, -28, 15, 145
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.ts", "TypeScript", 421, 0, 0, 0, 0, 0, 2, 96, 519
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\safe-pipe.pipe.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\safe-pipe.pipe.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.html", "HTML", 0, 31, 0, 0, 0, 0, 126, 4, 161
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 19, 109
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products.service.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 1, 9, 23
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.css", "CSS", 0, 0, 542, 0, 0, 0, 4, 88, 634
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.html", "HTML", 0, 10, 0, 0, 0, 0, 115, 11, 136
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 36, 146
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\prev.directive.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\prev.directive.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\auth.guard.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\translate-config.service.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\contact-model.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\contatc-form\contatc-form.component.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\contatc-form\contatc-form.component.html", "HTML", 0, 93, 0, 0, 0, 0, 95, 5, 193
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\contatc-form\contatc-form.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\contatc-form\contatc-form.component.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 14, 70
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\team\team.component.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 8, 46
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\team\team.component.html", "HTML", 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\team\team.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\team\team.component.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 12, 12, 124
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\the-company\the-company.component.css", "CSS", 0, 0, 70, 0, 0, 0, 5, 15, 90
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\the-company\the-company.component.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 12, 78
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\the-company\the-company.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\the-company\the-company.component.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 29, 136
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Arrow 1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Frame 102.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Frame 4 (1).svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Frame 4.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Image.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 7.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 8.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\LogoSmall.svg", "XML", 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-dark 1.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-white 1.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-white.svg", "XML", 0, 0, 0, 0, 127, 0, 1, 1, 129
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Rectangle1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Vector.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bi_cart-check-fill.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bx_search-alt.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_home.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_image-add.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_offer.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_shopping-bag.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\carbon_collapse-categories.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\cart-with-products.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
