"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\services\user.model.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 4, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\product-added-to-cart\checkout.guard.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\product-added-to-cart\product-added-to-cart.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\product-added-to-cart\product-added-to-cart.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\product-added-to-cart\product-added-to-cart.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\product-added-to-cart\product-added-to-cart.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\spinner\spinner.component.css", "CSS", 0, 0, 0, 80, 0, 0, 1, 1, 82
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\spinner\spinner.component.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\spinner\spinner.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\spinner\spinner.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-white.svg", "XML", 0, 0, 0, 0, 127, 0, 1, 1, 129
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-right-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-dark3.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white-with-green.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white.svg", "XML", 0, 0, 0, 0, 34, 0, 1, 1, 36
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\css\demo.css", "CSS", 0, 0, 0, 158, 0, 0, 18, 31, 207
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\down lines.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\facebook-f.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\footerLines.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\incoming-call.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\instagram.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\location-pin-alt.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mail.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-dark2.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-white-with-green.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-white.svg", "XML", 0, 0, 0, 0, 52, 0, 1, 1, 54
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-dark2.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-white-with-green.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-white.svg", "XML", 0, 0, 0, 0, 30, 0, 1, 1, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\print.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-dark2.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-white-with-green.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-white.svg", "XML", 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard.scss", "SCSS", 0, 0, 0, 0, 0, 31, 22, 9, 62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, 62, 0, 13, 75
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_animated-buttons.scss", "SCSS", 0, 0, 0, 0, 0, 60, 1, 11, 72
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 204, 4, 27, 235
